CMDLINE C:\Users\peiman\AppData\Local\Programs\Python\Python310\python.exe main_test.py
MEM 718.843750 1669950747.6097
MEM 718.878906 1669950747.7208
MEM 718.988281 1669950747.8309
MEM 720.679688 1669950747.9428
MEM 729.347656 1669950748.0538
MEM 736.871094 1669950748.1659
MEM 743.679688 1669950748.2769
MEM 750.976562 1669950748.3868
MEM 758.085938 1669950748.4973
MEM 764.964844 1669950748.6069
MEM 772.210938 1669950748.7189
MEM 779.730469 1669950748.8289
MEM 787.082031 1669950748.9389
MEM 794.000000 1669950749.0505
MEM 801.062500 1669950749.1605
MEM 808.308594 1669950749.2692
MEM 815.144531 1669950749.3802
MEM 822.269531 1669950749.4918
MEM 829.554688 1669950749.6018
MEM 836.605469 1669950749.7121
MEM 843.730469 1669950749.8214
MEM 850.855469 1669950749.9330
MEM 857.679688 1669950750.0440
MEM 865.304688 1669950750.1560
MEM 872.769531 1669950750.2681
MEM 880.394531 1669950750.3797
MEM 887.816406 1669950750.4910
MEM 895.441406 1669950750.6030
MEM 902.941406 1669950750.7140
MEM 909.613281 1669950750.8250
MEM 867.746094 1669950750.9353
MEM 885.406250 1669950751.0454
MEM 923.597656 1669950751.1545
MEM 970.339844 1669950751.2626
MEM 958.195312 1669950751.3709
MEM 959.703125 1669950751.4815
MEM 960.917969 1669950751.5916
MEM 963.457031 1669950751.7005
MEM 966.207031 1669950751.8084
MEM 966.992188 1669950751.9164
MEM 968.558594 1669950752.0279
MEM 970.707031 1669950752.1396
MEM 972.085938 1669950752.2513
MEM 973.902344 1669950752.3634
MEM 976.988281 1669950752.4754
MEM 972.265625 1669950752.5859
MEM 973.316406 1669950752.6978
MEM 974.464844 1669950752.8089
MEM 975.968750 1669950752.9204
MEM 977.257812 1669950753.0304
MEM 978.214844 1669950753.1416
MEM 979.714844 1669950753.2536
MEM 980.667969 1669950753.3650
MEM 982.101562 1669950753.4750
MEM 983.703125 1669950753.5851
MEM 984.761719 1669950753.6970
MEM 985.824219 1669950753.8080
MEM 987.101562 1669950753.9190
MEM 988.144531 1669950754.0290
MEM 972.320312 1669950754.1400
MEM 973.488281 1669950754.2500
MEM 974.402344 1669950754.3611
MEM 975.261719 1669950754.4731
MEM 976.445312 1669950754.5844
MEM 977.769531 1669950754.6941
MEM 978.976562 1669950754.8046
MEM 980.175781 1669950754.9150
MEM 981.332031 1669950755.0229
MEM 982.500000 1669950755.1317
MEM 983.679688 1669950755.2416
MEM 984.972656 1669950755.3519
MEM 985.652344 1669950755.4618
MEM 986.996094 1669950755.5728
MEM 988.109375 1669950755.6832
MEM 989.550781 1669950755.7942
MEM 989.562500 1669950755.9032
MEM 989.562500 1669950756.0133
MEM 989.562500 1669950756.1233
MEM 989.562500 1669950756.2347
MEM 989.562500 1669950756.3457
MEM 989.562500 1669950756.4562
MEM 989.562500 1669950756.5672
MEM 989.562500 1669950756.6783
MEM 989.562500 1669950756.7893
MEM 989.562500 1669950756.9013
MEM 989.562500 1669950757.0133
MEM 989.562500 1669950757.1223
MEM 989.562500 1669950757.2346
MEM 989.562500 1669950757.3414
MEM 989.562500 1669950757.4494
MEM 989.562500 1669950757.5604
MEM 989.562500 1669950757.6704
MEM 989.562500 1669950757.7804
MEM 989.578125 1669950757.8925
MEM 989.578125 1669950758.0044
MEM 989.621094 1669950758.1144
MEM 997.445312 1669950758.2246
MEM 1004.265625 1669950758.3356
MEM 1011.164062 1669950758.4461
MEM 1018.175781 1669950758.5571
MEM 1025.171875 1669950758.6678
MEM 1031.964844 1669950758.7767
MEM 1038.949219 1669950758.8879
MEM 1045.828125 1669950758.9974
MEM 1053.000000 1669950759.1074
MEM 1060.183594 1669950759.2185
MEM 1066.929688 1669950759.3296
MEM 1073.382812 1669950759.4401
MEM 1080.382812 1669950759.5507
MEM 1087.136719 1669950759.6617
MEM 1094.128906 1669950759.7717
MEM 1101.191406 1669950759.8817
MEM 1108.167969 1669950759.9927
MEM 1115.167969 1669950760.1043
MEM 1089.285156 1669950760.2152
MEM 1120.437500 1669950760.3250
MEM 1148.828125 1669950760.4350
MEM 1148.828125 1669950760.5454
MEM 1150.312500 1669950760.6544
MEM 1151.500000 1669950760.7629
MEM 1153.339844 1669950760.8734
MEM 1157.238281 1669950760.9848
MEM 1159.187500 1669950761.0931
MEM 1161.273438 1669950761.2011
MEM 1162.347656 1669950761.3116
MEM 1159.992188 1669950761.4207
MEM 1160.558594 1669950761.5314
MEM 1161.730469 1669950761.6404
MEM 1163.140625 1669950761.7475
MEM 1164.410156 1669950761.8555
MEM 1165.421875 1669950761.9646
MEM 1166.968750 1669950762.0736
MEM 1168.277344 1669950762.1841
MEM 1169.609375 1669950762.2947
MEM 1170.371094 1669950762.4027
MEM 1160.210938 1669950762.5107
MEM 1160.859375 1669950762.6207
MEM 1161.707031 1669950762.7290
MEM 1162.839844 1669950762.8389
MEM 1164.109375 1669950762.9476
MEM 1165.375000 1669950763.0556
MEM 1166.667969 1669950763.1651
MEM 1167.941406 1669950763.2757
MEM 1169.214844 1669950763.3835
MEM 1169.980469 1669950763.4955
MEM 1171.589844 1669950763.6046
MEM 1171.589844 1669950763.7135
MEM 1171.593750 1669950763.8209
MEM 1171.593750 1669950763.9313
MEM 1171.593750 1669950764.0395
MEM 1171.593750 1669950764.1487
MEM 1171.593750 1669950764.2603
MEM 1171.593750 1669950764.3703
MEM 1171.878906 1669950764.4803
MEM 1171.878906 1669950764.5883
MEM 1171.878906 1669950764.6973
MEM 1171.878906 1669950764.8073
MEM 1171.878906 1669950764.9153
MEM 1173.285156 1669950765.0253
MEM 1177.167969 1669950765.1364
MEM 1177.718750 1669950765.2463
MEM 1184.812500 1669950765.3584
MEM 1192.046875 1669950765.4675
MEM 1199.332031 1669950765.5775
MEM 1206.632812 1669950765.6865
MEM 1213.550781 1669950765.7975
MEM 1220.699219 1669950765.9055
MEM 1227.683594 1669950766.0155
MEM 1234.769531 1669950766.1264
MEM 1241.890625 1669950766.2375
MEM 1248.898438 1669950766.3485
MEM 1255.988281 1669950766.4590
MEM 1246.683594 1669950766.5683
MEM 1276.394531 1669950766.6787
MEM 1278.148438 1669950766.7895
MEM 1279.898438 1669950766.9014
MEM 1282.839844 1669950767.0120
MEM 1284.894531 1669950767.1218
MEM 1284.500000 1669950767.2307
MEM 1285.289062 1669950767.3394
MEM 1285.679688 1669950767.4488
MEM 1286.945312 1669950767.5577
MEM 1288.242188 1669950767.6698
MEM 1289.511719 1669950767.7803
MEM 1283.476562 1669950767.8889
MEM 1284.402344 1669950767.9989
MEM 1285.292969 1669950768.1090
MEM 1286.433594 1669950768.2186
MEM 1287.980469 1669950768.3296
MEM 1289.503906 1669950768.4396
MEM 1283.871094 1669950768.5476
MEM 1292.535156 1669950768.6561
MEM 1292.535156 1669950768.7667
